代號,公司,扣抵稅率,配息,除息日,配股,除權日,股價,現金殖利率,殖利率,還原殖利率,發息日,配息率,董監持股,3年平均股利,6年平均股利,10年平均股利,10年股利次數,1QEPS,2QEPS,3QEPS,今年累積EPS,去年EPS,本益比,股價淨值比,5%每萬元買抵稅,5%持有一張抵稅,12%萬買,12%一張,20%萬買,20%一張,30%萬買,30%一張,多少張以上要繳健保費,一張繳健保費,
1909,榮成,15.57%,1,07/05,0,,15.85,6.31%,6.31%,6.84%,07/21,89.29%,32.05%,0.9,0.64,0.56,8,0.3,0,0,0.3,1.12,13.1,0.88,15.12,23.96,-32.49,-51.49,-86.89,-137.72,-154.89,-245.51,18.5555,20.59,
2002,中鋼,15.75%,0.5,07/26,0,,22.05,2.27%,2.27%,2.46%,08/25,102.04%,20.13%,0.8,1.09,1.65,10,0.03,0,0,0.03,0.49,129.71,1.16,5.63,12.41,-11.5,-25.35,-31.07,-68.5,-55.53,-122.44,37.08,10.3,
2002A,中鋼特,0%,1.4,07/26,0,,40.45,3.46%,3.46%,3.46%,08/25,0%,0%,1.33,1.49,1.89,10,0,0,0,0,0,0,0,-17.31,-70,-41.53,-168,-69.22,-280,-103.83,-420,14.2857,26.74,
2006,東和鋼,15.43%,1.1,07/19,0,,18.25,6.03%,6.03%,6.53%,08/19,86.61%,14.22%,1.33,1.35,1.72,10,0.21,0,0,0.21,1.27,16.9,0.78,14.04,25.62,-31.41,-57.32,-83.35,-152.11,-148.27,-270.59,16.8796,22.63,
2010,春源,11.11%,0.5,07/12,0,,10.25,4.88%,4.88%,5.16%,08/10,49.02%,25.34%,0.73,0.8,0.77,10,0.23,0,0,0.23,1.02,9.4,0.62,1.35,1.39,-34.69,-35.56,-75.88,-77.78,-127.37,-130.56,37.8949,10.08,
2012,春雨,25.56%,0.5,,0,,14.3,3.5%,3.5%,4.01%,,89.29%,27.85%,0.5,0.25,0.31,6,0.01,0,0,0.01,0.56,29.79,1.08,24.97,35.71,-2.63,-3.77,-34.18,-48.88,-73.62,-105.27,35.4673,10.77,
2013,中鋼構,29.59%,0.5,07/13,0,,21.65,2.31%,2.31%,2.71%,08/12,55.56%,43.4%,0.93,1.4,1.26,10,0.12,0,0,0.12,0.9,25.47,0.97,20.91,45.28,2.35,5.1,-18.85,-40.82,-45.37,-98.22,34.8447,10.96,
2015,豐興鋼,17.5%,2.5,06/27,0,,42.05,5.95%,5.95%,6.52%,07/22,72.46%,18.6%,2.67,2.71,2.68,10,0.81,0,0,0.81,3.45,12.22,1.45,19.69,82.81,-25.56,-107.5,-77.29,-325,-141.94,-596.87,7.3563,51.93,
2024,志聯,6.92%,0.3,06/23,0,,6.92,4.34%,4.34%,4.49%,07/29,88.24%,25.63%,0.37,0.21,0.13,3,0.09,0,0,0.09,0.34,22.32,0.62,-7.43,-5.14,-38.82,-26.87,-74.71,-51.7,-119.56,-82.73,64.4371,5.93,
2027,大成鋼,20.48%,0.5,07/28,0.3,07/28,16.8,2.98%,4.76%,5.31%,08/26,-222.22%,9.23%,0.81,0.97,1.32,9,-0.18,0,0,-0.18,-0.36,-27.54,1.19,22.51,37.82,-14.23,-23.91,-56.23,-94.46,-108.72,-182.66,22.6778,16.84,
2029,盛餘,46.21%,1,07/19,0,,22.1,4.52%,4.52%,5.88%,08/15,-344.83%,65.79%,1.1,0.85,1.17,10,0.69,0,0,0.69,-0.29,9.9529551764888e16,0.9,76.7,169.5,37.7,83.32,-6.86,-15.16,-62.56,-138.27,16.2463,23.51,
2031,新光鋼,0%,0.3,07/12,0,,16.15,1.86%,1.86%,1.86%,08/10,-20.69%,12.52%,0.77,0.97,1.05,10,0.9,0,0,0.9,-1.45,-10.29,0.95,-9.29,-15,-22.29,-36,-37.15,-60,-55.73,-90,66.6667,5.73,
2032,新鋼,10.23%,0.2,06/27,0,,10.15,1.97%,1.97%,2.08%,07/22,76.92%,25.24%,0.4,0.33,0.57,8,0.08,0,0,0.08,0.26,35,0.81,-0.28,-0.28,-14.78,-15,-31.35,-31.82,-52.06,-52.84,95.1339,4.02,
2034,允強,19.61%,1,07/19,1,07/19,23.95,4.18%,8.35%,9.26%,08/31,138.89%,16.48%,1.83,1.44,1.74,10,0.39,0,0,0.39,1.44,16.99,1.23,36.03,86.3,-28.16,-67.43,-101.51,-243.12,-193.21,-462.73,9.1071,41.95,
2049,上銀科,21.03%,2.1,,0.2,,156.5,1.34%,1.47%,1.64%,,37.7%,15.99%,2.94,3.52,2.5,10,0.53,0,0,0.53,6.1,33.16,3.06,7.33,114.75,-4.04,-63.18,-17.03,-266.52,-33.27,-520.71,7.8683,48.55,
2059,川湖,16.15%,10.1,08/29,0,,387.5,2.61%,2.61%,2.84%,09/30,50.05%,17.33%,8.87,7.09,6.1,10,2.89,0,0,2.89,20.18,20.48,4.43,6.96,269.8,-12.76,-494.29,-35.29,-1367.54,-63.46,-2459.1,1.8322,208.49,
2062,橋椿,16.29%,1,,0,,43.5,2.3%,2.3%,2.5%,,26.11%,18.4%,2.12,2.34,2.16,10,1.32,0,0,1.32,3.83,9.89,1.37,6.29,27.38,-11.11,-48.32,-31,-134.84,-55.86,-242.99,18.4937,20.66,
2063,世鎧,16.73%,1,07/28,0.4000634,07/28,26.8,3.73%,5.22%,5.7%,09/02,93.34%,22.69%,1.46,2.08,1.66,8,0.36,0,0,0.36,1.5,14.73,1.85,15.39,41.26,-24.23,-64.95,-69.52,-186.32,-126.13,-338.04,13.1824,28.98,
2064,晉椿,25.44%,1.2,06/27,0,,15.45,7.77%,7.77%,8.9%,07/18,88.24%,20.37%,1.73,1.13,0.68,5,-0.14,0,0,-0.14,1.36,18.61,0.76,55.02,85.01,-6.26,-9.68,-76.3,-117.89,-163.85,-253.15,14.7859,25.84,
2066,世德,24.58%,6,08/04,0,,120.5,4.98%,4.98%,5.68%,09/08,84.51%,55.12%,5.5,3,1.8,4,1.48,0,0,1.48,7.1,16.57,3.92,33.24,400.53,-5.9,-71.09,-50.63,-610.08,-106.54,-1283.82,2.9685,128.68,
2069,運錩,9.2%,0.6,,0,,17.75,3.38%,3.38%,3.54%,,109.09%,9.16%,0.54,0.26,0.16,2,0.09,0,0,0.09,0.55,35.5,0.87,-2.13,-3.78,-26.88,-47.71,-55.17,-97.92,-90.52,-160.68,31.8674,11.99,
2101,南港,20.48%,0.2,07/12,0,,28.25,0.71%,0.71%,0.79%,07/26,20.62%,4.37%,0.07,0.71,1.3,5,0.21,0,0,0.21,0.97,26.4,1.96,3.35,9.46,-2.12,-5.98,-8.36,-23.62,-16.16,-45.66,90.7112,4.21,
2102,泰豐,20.06%,0.2,08/02,0.2,08/02,14.15,1.41%,2.83%,3.14%,09/22,32.79%,14.54%,0.56,0.59,0.66,9,0.25,0,0,0.25,1.22,11.41,0.62,12.8,18.11,-8.97,-12.69,-33.85,-47.9,-64.96,-91.92,45.4422,8.41,
2103,台橡,10.1%,1.06,,0,,27.95,3.79%,3.79%,3.99%,,165.63%,10.27%,1.49,2.93,3.07,10,0.27,0,0,0.27,0.64,41.1,1.43,-0.77,-2.15,-28.66,-80.09,-60.53,-169.18,-100.37,-280.53,17.9609,21.27,
2104,中橡,9.58%,1.15,07/21,0,,23.15,4.97%,4.97%,5.22%,08/19,79.31%,15.08%,1.87,1.83,1.71,10,0.51,0,0,0.51,1.45,14.47,0.77,-2.23,-5.17,-38.67,-89.53,-80.32,-185.93,-132.37,-306.44,16.5963,23.02,
2105,正新,9.36%,3,07/21,0,,66.6,4.5%,4.5%,4.73%,08/25,76.14%,13.88%,3,3.14,2.95,10,1.24,0,0,1.24,3.94,15.93,2.33,-2.5,-16.62,-35.5,-236.45,-73.23,-487.68,-120.38,-801.72,6.3686,59.98,
