代號,公司,扣抵稅率,配息,除息日,配股,除權日,股價,現金殖利率,殖利率,還原殖利率,發息日,配息率,董監持股,3年平均股利,6年平均股利,10年平均股利,10年股利次數,1QEPS,2QEPS,3QEPS,今年累積EPS,去年EPS,本益比,股價淨值比,5%每萬元買抵稅,5%持有一張抵稅,12%萬買,12%一張,20%萬買,20%一張,30%萬買,30%一張,多少張以上要繳健保費,一張繳健保費,
2395,研華,15.07%,6,06/30,0,,248,2.42%,2.42%,2.62%,08/05,74.26%,18.48%,6.09,5.43,4.86,10,2.08,0,0,2.08,8.08,29.31,7.03,5.22,129.5,-12.99,-322.15,-33.8,-838.32,-59.82,-1483.53,3.0998,123.24,
2397,友通,17.5%,2.85,06/30,0,,50.5,5.64%,5.64%,6.18%,07/22,91.05%,25.8%,2.41,1.88,2.62,10,1.3,0,0,1.3,3.13,13.32,1.82,18.69,94.41,-24.27,-122.55,-73.37,-370.5,-134.74,-680.44,6.4529,59.2,
2401,凌陽,20.91%,0.89,08/11,0,,12.8,6.95%,6.95%,7.76%,09/06,89%,17.36%,0.5,0.38,0.98,5,0,0,0,0,1,213.33,0.8,34.29,43.9,-19.47,-24.92,-80.91,-103.56,-157.71,-201.87,20.3449,18.78,
2404,漢唐,26.26%,4,06/30,0,,47.7,8.39%,8.39%,9.65%,07/27,76.34%,5.82%,2.97,2.95,2.51,10,1.37,0,0,1.37,5.24,8.24,1.74,62.67,298.94,-3.74,-17.82,-79.63,-379.84,-174.5,-832.36,4.4197,86.43,
2408,南亞科,0.17%,2.8,07/21,0,,37.7,7.43%,7.43%,7.43%,08/12,39.6%,33.58%,1.6,0.8,0.84,3,0.68,0,0,0.68,7.07,8.16,1.52,-36.54,-137.74,-88.57,-333.91,-148.04,-558.1,-222.37,-838.33,7.1368,53.53,
2409,友達,23.06%,0.35,07/07,0,,12.95,2.7%,2.7%,3.05%,08/31,68.63%,7.05%,0.33,0.23,0.54,7,-0.57,0,0,-0.57,0.51,-21.95,0.71,16.09,20.84,-5.01,-6.49,-29.12,-37.72,-59.27,-76.75,51.2354,7.46,
2412,中華電,20.48%,5.4852,07/21,0,,113.5,4.83%,4.83%,5.38%,08/26,99.37%,35.29%,5.07,5.26,5.14,10,1.5,0,0,1.5,5.52,19.98,2.31,22.85,259.34,-14.44,-163.94,-57.07,-647.69,-110.34,-1252.38,3.3075,115.5,
2413,環科,21.63%,0.5,08/03,0,,12.25,4.08%,4.08%,4.58%,08/23,37.88%,37.61%,0.17,0.17,0.19,4,0.13,0,0,0.13,1.32,10.29,0.75,21.53,26.37,-10.13,-12.41,-46.32,-56.74,-91.55,-112.15,36.0962,10.58,
2414,精技,20.48%,1.25,07/25,0,,16.3,7.67%,7.67%,8.54%,08/12,90.58%,19.38%,1.15,1.21,1.18,10,0.44,0,0,0.44,1.38,11.81,1.02,36.26,59.1,-22.92,-37.36,-90.55,-147.6,-175.09,-285.4,14.5138,26.32,
2415,錩新,8.88%,0.8,07/14,0,,14.75,5.42%,5.42%,5.68%,08/15,97.56%,14.28%,0.87,0.81,0.66,8,0.22,0,0,0.22,0.82,15.21,0.86,-4.24,-6.26,-43.89,-64.74,-89.21,-131.58,-145.85,-215.14,23.9372,15.96,
2417,圓剛,0%,0.1,07/12,0,,10.75,0.93%,0.93%,0.93%,08/12,-7.19%,8.03%,0.1,0.98,1.65,10,-0.25,0,0,-0.25,-1.39,-8.88,0.7,-4.65,-5,-11.16,-12,-18.6,-20,-27.91,-30,200,1.91,
2419,仲琦,18.15%,0.75,07/13,0,,21.5,3.49%,3.49%,3.84%,08/15,74.26%,8.96%,0.56,0.9,0.74,8,0.4,0,0,0.4,1.01,14.93,1.52,12.63,27.16,-14,-30.11,-44.44,-95.55,-82.49,-177.36,24.448,15.62,
2420,新巨,18.41%,2.5,07/01,0,,35.85,6.97%,6.97%,7.68%,08/01,58.69%,27.36%,2.93,2.43,2.09,10,0.87,0,0,0.87,4.26,8.64,1.86,26.11,93.62,-27.19,-97.49,-88.12,-315.9,-164.27,-588.91,7.3257,52.15,
2421,建準,17.36%,1.5,06/22,0,,26.8,5.6%,5.6%,6.13%,07/15,84.75%,8.65%,1.23,1.37,1.18,10,0.2,0,0,0.2,1.77,14.49,1.66,18.17,48.69,-24.41,-65.42,-73.07,-195.84,-133.9,-358.86,12.2684,31.14,
2423,固緯,12.16%,0.7,,0.5,,18.65,3.75%,6.43%,6.85%,,71.43%,32.68%,1.06,1.16,1.35,10,0.42,0,0,0.42,1.68,10.6,1.2,4.99,9.31,-42.79,-79.8,-97.39,-181.63,-165.65,-308.93,15.7114,24.31,
2425,承啟,6.22%,0.3,,0,,23.55,1.27%,1.27%,1.31%,,17.96%,34.54%,0.84,0.52,0.32,4,0.13,0,0,0.13,1.67,13.53,1.44,-2.61,-6.14,-11.8,-27.79,-22.31,-52.54,-35.44,-83.47,64.6559,5.91,
2426,鼎元,20.99%,1.02369989,08/02,0,,14.3,7.16%,7.16%,8%,08/24,83.91%,8.22%,0.64,0.48,0.6,8,0.11,0,0,0.11,1.22,15.05,1.16,35.58,50.88,-19.79,-28.3,-83.07,-118.79,-162.17,-231.9,17.6813,21.6,
2427,三商電,20.76%,0.1,07/21,0,,7.51,1.33%,1.33%,1.49%,08/25,55.56%,52.61%,0.12,0.12,0.07,3,0.04,0,0,0.04,0.18,25.9,0.66,6.47,4.86,-3.82,-2.87,-15.57,-11.7,-30.27,-22.73,181.1922,2.11,
2428,興勤,18.1%,2.5,,0,,51.4,4.86%,4.86%,5.35%,,46.3%,22.08%,2.2,2.08,1.9,10,0.97,0,0,0.97,5.4,9.77,1.41,17.5,89.94,-19.63,-100.9,-62.06,-319,-115.1,-591.63,7.3361,52.07,
2430,燦坤,29.53%,1.2,05/11,0,,26.35,4.55%,4.55%,5.34%,05/25,67.04%,32.5%,1.2,2.02,2.16,9,1.01,0,0,1.01,1.79,13.18,0.94,41.11,108.32,4.52,11.92,-37.29,-98.26,-89.55,-235.97,14.5224,26.3,
2431,聯昌,20.48%,0.27,08/01,0,,13,2.08%,2.08%,2.31%,08/26,84.38%,36.18%,0.15,0.2,0.23,4,0.09,0,0,0.09,0.32,118.18,0.86,9.82,12.77,-6.21,-8.07,-24.52,-31.88,-47.42,-61.65,67.1935,5.69,
2433,互盛電,7.28%,3.3,06/24,0,,41.55,7.94%,7.94%,8.24%,07/13,89.92%,67.8%,3.5,3.26,2.64,10,0.57,0,0,0.57,3.67,11.67,1.55,-12.25,-50.89,-69.87,-290.29,-135.72,-563.9,-218.03,-905.92,5.8477,65.32,
2436,偉詮,11.61%,0.5,07/13,0,,22.1,2.26%,2.26%,2.4%,08/09,90.91%,7.42%,0.53,0.44,0.5,8,0.08,0,0,0.08,0.55,40.18,1.74,1.16,2.57,-15.59,-34.46,-34.74,-76.78,-58.68,-129.68,37.8054,10.1,
2437,旺詮,10.8%,4,07/11,0,,45.8,8.73%,8.73%,9.23%,07/26,69.44%,25.02%,4.33,3.67,3.11,9,0.94,0,0,0.94,5.76,8.28,0.88,1.14,5.2,-63.3,-289.92,-136.94,-627.2,-229,-1048.8,4.7438,80.53,
2439,美律,13.26%,3.23972897,08/05,0,,91,3.56%,3.56%,3.81%,08/24,93.1%,8.79%,4.28,3.53,3.53,10,0.21,0,0,0.21,3.48,18.35,3.02,4.62,42.07,-21.95,-199.75,-52.32,-476.11,-90.28,-821.56,5.7895,65.98,
2441,超豐,7.92%,2.4,,0,,39.2,6.12%,6.12%,6.37%,,69.16%,45.82%,2.67,2.13,2.4,10,0.93,0,0,0.93,3.47,11.1,1.56,-7.58,-29.71,-52.13,-204.36,-103.05,-403.97,-166.7,-653.47,8.0159,47.66,
2442,新美齊,29.67%,0.045,07/28,0.03,07/28,5.76,0.78%,1.3%,1.53%,08/31,30%,24.5%,0.2,0.4,0.25,5,-0.36,0,0,-0.36,0.25,-17.45,0.53,11.84,6.82,1.37,0.79,-10.59,-6.1,-25.54,-14.71,232.2172,1.65,
2444,友旺,0.42%,0.15,08/25,0,,14.05,1.07%,1.07%,1.07%,09/14,50%,11.8%,0.22,0.11,0.12,3,0.31,0,0,0.31,0.3,41.32,1.28,-5.13,-7.2,-12.61,-17.72,-21.17,-29.75,-31.87,-44.78,133.0539,2.87,
2449,京元電,15.33%,1.2,08/12,0,,30.55,3.93%,3.93%,4.25%,09/08,62.18%,4.68%,1.6,1.28,1.1,9,0.52,0,0,0.52,1.93,15.51,1.55,8.96,27.38,-20.64,-63.06,-54.47,-166.42,-96.76,-295.61,15.4801,24.68,
2450,神腦,29.15%,3,08/04,0,,57,5.26%,5.26%,6.16%,08/29,94.64%,40.18%,2.02,3.09,3,10,1.02,0,0,1.02,3.17,15.28,2.37,46.56,265.39,4.35,24.78,-43.89,-250.2,-104.2,-593.93,5.8186,65.65,
2451,創見,15.22%,6.8,07/07,0,,95.7,7.11%,7.11%,7.69%,08/05,90.91%,3.75%,7.1,6.05,5.42,10,1.45,0,0,1.45,7.48,13.69,1.95,15.84,151.61,-37.68,-360.62,-98.85,-946.02,-175.31,-1677.76,2.7332,139.76,
2453,凌群,21.42%,0.5,07/14,0,,11.85,4.22%,4.22%,4.73%,08/17,76.92%,25.52%,0.57,0.45,0.31,6,0.04,0,0,0.04,0.65,18.52,0.69,21.83,25.87,-10.87,-12.88,-48.24,-57.16,-94.95,-112.52,36.1304,10.57,
2454,聯發科,10.46%,11,07/15,0,,243.5,4.52%,4.52%,4.77%,08/11,66.27%,2.87%,16,14.33,16.06,10,2.79,0,0,2.79,16.6,16.49,1.57,-0.14,-3.47,-33.42,-813.74,-71.45,-1739.76,-118.99,-2897.29,1.7278,221.09,
2455,全新,8.29%,2.15,07/07,0,,39.9,5.39%,5.39%,5.62%,07/29,89.58%,8.18%,2.05,2.44,1.86,8,0.65,0,0,0.65,2.4,15.9,2.63,-5.72,-22.84,-45.01,-179.58,-89.9,-358.71,-146.02,-582.62,8.9321,42.77,
2456,奇力新,12%,3.2,07/05,0,,68.8,4.65%,4.65%,4.95%,07/29,72.56%,18.62%,1.97,1.28,1.11,10,1.14,0,0,1.14,4.41,15.5,2.28,3.26,22.4,-31.26,-215.04,-70.7,-486.4,-120,-825.6,5.8962,64.79,
2458,義隆電,20.48%,2,,0,,37.8,5.29%,5.29%,5.89%,,101.01%,3.89%,3.09,2.48,1.76,10,0.26,0,0,0.26,1.98,22.91,2.17,25.02,94.56,-15.81,-59.78,-62.48,-236.16,-120.8,-456.64,9.0711,42.11,
2459,敦吉,8.39%,2.5,08/09,0,,36,6.94%,6.94%,7.25%,08/26,71.02%,27.15%,2.18,2.14,1.99,10,0.75,0,0,0.75,3.52,9.81,0.83,-7.05,-25.37,-57.7,-207.71,-115.58,-416.1,-187.94,-676.59,7.6779,49.75,
2461,光群雷,4.22%,0.5,06/24,0,,14.6,3.42%,3.42%,3.5%,07/12,44.64%,10.51%,0.52,0.36,0.52,9,0.23,0,0,0.23,1.12,11.41,0.76,-10.26,-14.98,-34.74,-50.72,-62.71,-91.56,-97.68,-142.62,39.1734,9.75,
2462,良得,16.19%,0.2,07/28,0.8,07/28,17.3,1.16%,5.78%,6.29%,08/26,59.88%,11.51%,1.33,1.97,1.9,10,0.01,0,0,0.01,1.67,12.81,0.85,15.55,26.9,-28.19,-48.76,-78.17,-135.24,-140.66,-243.34,18.5022,20.65,
2464,盟立,8.66%,2.3,07/13,0,,39.6,5.81%,5.81%,6.07%,08/10,77.18%,13.28%,1.8,1.74,2.12,10,0.58,0,0,0.58,2.98,13.38,2.06,-5.15,-20.39,-47.57,-188.36,-96.04,-380.33,-156.64,-620.29,8.3348,45.83,
2468,華經,20.31%,0.5,,0,,11,4.55%,4.55%,5.06%,,60.98%,66.87%,0.43,0.43,0.6,10,0.1,0,0,0.1,0.82,13.25,0.69,21.12,23.24,-13.93,-15.32,-53.98,-59.38,-104.05,-114.46,36.3125,10.52,
2471,資通,0%,1,07/21,0,,13.5,7.41%,7.41%,7.41%,08/15,128.21%,15.31%,1.07,1.18,0.77,7,0.27,0,0,0.27,0.78,10.63,0.87,-37.04,-50,-88.89,-120,-148.15,-200,-222.22,-300,20,19.1,
2472,立隆,12.41%,2.5,08/04,0,,41.3,6.05%,6.05%,6.45%,08/29,88.34%,23.82%,2.1,1.47,0.9,8,1.16,0,0,1.16,2.83,11.41,1.72,5.42,22.37,-39.59,-163.49,-91.02,-375.9,-155.31,-641.41,7.5326,50.71,
2474,可成,9.7%,10,,0,,222,4.5%,4.5%,4.73%,,30.67%,4.11%,6.97,5.93,5.06,10,5.4,0,0,5.4,32.61,6.94,1.45,-1.77,-39.25,-34.83,-773.2,-72.61,-1612,-119.84,-2660.5,1.9075,200.26,
2476,鉅祥,16.96%,1.53,08/04,0,,23.9,6.4%,6.4%,6.99%,09/09,69.86%,11.3%,1.44,1.2,1.45,10,0.41,0,0,0.41,2.19,10.81,0.95,19.56,46.76,-29.05,-69.43,-84.6,-202.2,-154.05,-368.18,12.0501,31.7,
2477,美隆電,1.41%,1.1,,0,,13.9,7.91%,7.91%,7.97%,,90.16%,31.33%,1.7,1.08,0.95,9,0.28,0,0,0.28,1.22,10.3,0.98,-34.27,-47.63,-90.05,-125.18,-153.81,-213.8,-233.5,-324.57,18.0545,21.16,
2478,大毅,17.41%,0.2,07/11,0,,16.75,1.19%,1.19%,1.31%,08/02,21.28%,18%,0.28,0.62,0.81,10,0.23,0,0,0.23,0.94,16.42,0.81,3.9,6.54,-5.18,-8.68,-15.57,-26.07,-28.55,-47.81,91.9921,4.15,
2480,敦陽科,21.51%,2,06/30,0,,24.85,8.05%,8.05%,9.02%,07/29,99.01%,9.12%,2,1.96,1.77,10,0.5,0,0,0.5,2.02,12.24,1.17,41.99,104.35,-20.41,-50.71,-91.72,-227.92,-180.86,-449.43,9.0289,42.31,
2481,強茂,20.48%,0.9,07/15,0,,15.95,5.64%,5.64%,6.29%,08/05,75%,14.2%,0.37,0.38,0.54,6,0.5,0,0,0.5,1.2,10.16,0.81,26.68,42.55,-16.86,-26.9,-66.63,-106.27,-128.83,-205.49,20.158,18.95,
2482,連宇,23.7%,0.15,,0,,14,1.07%,1.07%,1.22%,,60%,31.28%,0.05,0.03,0.27,4,0.15,0,0,0.15,0.25,45.16,1.04,6.7,9.39,-1.68,-2.36,-11.27,-15.78,-23.26,-32.56,119.2073,3.2,
2483,百容,16.61%,1.3,07/13,0,,17.1,7.6%,7.6%,8.29%,08/15,74.71%,15.33%,1.37,0.92,0.83,10,0.33,0,0,0.33,1.74,9.14,0.77,21.97,37.57,-35.67,-60.99,-101.54,-173.63,-183.87,-314.42,14.2049,26.89,
2484,希華,20.25%,1.2,,0,,18.5,6.49%,6.49%,7.22%,,71.86%,9.72%,1.07,0.57,0.64,7,0.07,0,0,0.07,1.67,13.03,1,29.96,55.43,-20.04,-37.08,-77.19,-142.8,-148.62,-274.95,15.1343,25.24,
2485,兆赫,16.33%,2,08/01,0,,40.25,4.97%,4.97%,5.41%,08/26,75.19%,11.4%,1.7,1.82,2.34,10,0.71,0,0,0.71,2.66,12.94,1.67,13.7,55.14,-23.92,-96.3,-66.92,-269.36,-120.67,-485.69,9.2451,41.32,
2488,漢平,12.14%,2.2,08/11,0,,53.8,4.09%,4.09%,4.35%,09/09,73.83%,12.67%,1.93,1.37,1.32,10,1.13,0,0,1.13,2.98,15.28,2.29,3.13,16.86,-27.23,-146.48,-61.93,-333.17,-105.3,-566.52,8.5707,44.57,
2489,瑞軒,2.53%,1.8,07/13,0,,22.15,8.13%,8.13%,8.23%,08/10,84.91%,7.83%,1.87,2.05,2.03,10,1.27,0,0,1.27,2.12,6.63,1.16,-30.87,-68.37,-88.47,-195.96,-154.3,-341.78,-236.6,-524.06,10.9723,34.81,
2492,華新科,6.18%,0.75,07/18,0,,33.95,2.21%,2.21%,2.28%,08/19,40.32%,24.24%,0.35,0.26,0.52,5,0.71,0,0,0.71,1.86,12.96,1.34,-4.56,-15.48,-20.5,-69.61,-38.72,-131.46,-61.5,-208.78,25.8674,14.77,
2493,揚博,14.09%,2.3,07/13,0,,24.65,9.33%,9.33%,10.04%,08/10,91.63%,12.92%,2.37,2.3,1.61,9,0.9,0,0,0.9,2.51,8.27,1.23,15.79,38.93,-54.12,-133.41,-134.03,-330.37,-233.9,-576.58,8.1234,47.02,
2495,普安,22.54%,0.9,07/28,0,,16.25,5.54%,5.54%,6.24%,08/25,86.54%,22.99%,0.55,0.87,1.96,10,0.11,0,0,0.11,1.04,16.09,1.07,31.61,51.36,-11.53,-18.74,-60.83,-98.86,-122.46,-199,19.9714,19.13,
2497,怡利電,15.57%,1.5,07/28,0,,31.8,4.72%,4.72%,5.12%,08/25,84.27%,26.74%,2.17,1.18,0.77,5,0.05,0,0,0.05,1.78,30.87,1.86,11.3,35.94,-24.29,-77.24,-64.96,-206.58,-115.8,-368.26,12.3703,30.88,
2499,東貝,16.53%,0.3,,0,,17.5,1.71%,1.71%,1.87%,,47.62%,5.94%,0.57,0.56,0.68,8,0.01,0,0,0.01,0.63,39.77,0.87,4.89,8.56,-8.1,-14.18,-22.95,-40.16,-41.51,-72.64,61.5773,6.2,
2504,國產,14.07%,0.1,07/28,0,,8.12,1.23%,1.23%,1.32%,08/17,1000%,3.65%,0.17,0.22,0.31,9,-0.05,0,0,-0.05,0.01,-81.2,0.51,2.07,1.68,-7.15,-5.81,-17.7,-14.37,-30.88,-25.08,186.8548,2.04,
2505,國揚,21.15%,0.4,,0,,11.85,3.38%,3.38%,3.77%,,65.57%,7.69%,0.3,0.42,0.28,6,-0.09,0,0,-0.09,0.61,17.69,0.94,17.03,20.19,-9.09,-10.78,-38.95,-46.16,-76.28,-90.39,45.2182,8.45,
2506,太設,20.48%,0.2,,0,,11.65,1.72%,1.72%,1.91%,,62.5%,9.89%,0.27,0.21,0.13,5,0.05,0,0,0.05,0.32,194.17,0.68,8.12,9.46,-5.13,-5.98,-20.27,-23.62,-39.2,-45.66,90.7112,4.21,
2509,全坤興,0.77%,1.6,08/04,0,,20.65,7.75%,7.75%,7.78%,09/02,40%,15.56%,1.43,1.55,1.63,10,0.08,0,0,0.08,4,4.64,0.86,-35.91,-74.15,-90.35,-186.58,-152.58,-315.07,-230.36,-475.69,12.4521,30.68,
2511,太子,3.19%,1.1,07/19,0,,10.6,10.38%,10.38%,10.55%,08/08,79.71%,25.7%,0.83,1.21,0.99,9,0.07,0,0,0.07,1.38,7.97,0.69,-36.16,-38.33,-109.96,-116.56,-194.31,-205.96,-299.73,-317.72,17.8964,21.35,
2514,龍邦,9.18%,0.2,,0,,15.95,1.25%,1.25%,1.31%,,44.44%,7.58%,0.3,0.28,0.38,8,-0.12,0,0,-0.12,0.45,-37.98,1.1,-0.8,-1.28,-9.98,-15.92,-20.47,-32.66,-33.59,-53.57,95.6114,4,
2515,中工,6.74%,0.201,,0,,5.44,3.69%,3.69%,3.82%,,59.12%,11.46%,0.17,0.15,0.19,10,0.03,0,0,0.03,0.34,-5.79,0.42,-6.65,-3.61,-33.38,-18.16,-63.94,-34.78,-102.13,-55.56,96.2586,3.97,
2516,新建,6.66%,0.3,08/02,0,,6.66,4.5%,4.5%,4.66%,08/25,55.56%,7.22%,0.23,0.45,0.27,6,0.12,0,0,0.12,0.54,23.79,0.5,-8.27,-5.51,-40.85,-27.21,-78.09,-52.01,-124.64,-83.01,64.5182,5.92,
2520,冠德,8.06%,1,08/01,0,,17.15,5.83%,5.83%,6.08%,08/26,86.21%,20.07%,1.33,1.16,0.95,10,0.22,0,0,0.22,1.16,15.04,0.74,-6.83,-11.72,-49.29,-84.54,-97.82,-167.76,-158.48,-271.79,19.2252,19.87,
2527,宏璟,14.46%,1.1,07/21,0,,17.35,6.34%,6.34%,6.83%,08/19,41.04%,27.71%,1.13,0.88,0.66,10,0.05,0,0,0.05,2.68,6.83,0.6,11.85,20.55,-35.74,-62.01,-90.13,-156.38,-158.11,-274.33,16.9559,22.53,
2530,華建,5.31%,1.6,06/27,0,,14.4,11.11%,11.11%,11.41%,07/21,61.78%,39.68%,0.53,0.61,0.45,5,2.07,0,0,2.07,2.59,3.06,0.94,-27.53,-39.64,-107.37,-154.62,-198.62,-286.02,-312.68,-450.26,12.1767,31.37,
2534,宏盛,4.81%,0.5,08/23,0,,16.5,3.03%,3.03%,3.1%,09/23,73.53%,21.85%,0.63,0.93,1.52,10,0.02,0,0,0.02,0.68,21.15,1.09,-8.23,-13.58,-29.95,-49.42,-54.78,-90.38,-85.81,-141.58,39.0606,9.78,
2535,達欣工,18.89%,1,07/11,0,,16.2,6.17%,6.17%,6.82%,08/05,63.29%,12.33%,1.67,1.72,1.43,10,0.71,0,0,0.71,1.58,8.62,0.72,24.52,39.73,-22.77,-36.88,-76.81,-124.44,-144.37,-233.89,18.274,20.9,
2536,宏普,1.79%,2.6,,0,,26.75,9.72%,9.72%,9.81%,,58.96%,31.63%,1.85,1.8,2.16,10,2.92,0,0,2.92,4.41,5.2,0.72,-40.33,-107.89,-108.98,-291.52,-187.43,-501.38,-285.5,-763.71,7.6241,50.1,
2537,聯上發,0.36%,0.8,,0.8,,11.2,7.14%,14.29%,14.31%,,63.49%,24.38%,1.2,0.6,0.36,3,0.99,0,0,0.99,2.52,3.3,0.69,-68.99,-77.26,-169.17,-189.47,-283.66,-317.7,-426.77,-477.98,12.4775,30.62,
2538,基泰,3.15%,1.3,07/06,0,,12.8,10.16%,10.16%,10.32%,07/29,32.34%,6.7%,1.41,1.37,1.3,10,0.25,0,0,0.25,4.02,4.32,0.64,-35.58,-45.55,-107.8,-137.98,-190.33,-243.62,-293.49,-375.67,15.1461,25.22,
2539,櫻花建,7.11%,1.1,08/04,2,08/04,30.1,3.65%,10.3%,10.68%,09/09,88.32%,22.62%,3.03,2.22,1.37,7,0.39,0,0,0.39,3.51,7.78,1.77,-16.71,-50.31,-91.37,-275.02,-176.69,-531.84,-283.34,-852.86,6.2301,61.31,
2542,興富發,1.51%,6,07/13,0,,48.65,12.33%,12.33%,12.43%,08/05,84.99%,9.5%,6.67,5.35,4.79,10,2.48,0,0,2.48,7.06,6.73,1.46,-52.82,-256.97,-139.8,-680.14,-239.21,-1163.76,-363.47,-1768.29,3.3084,115.47,
2543,皇昌,20.48%,0.3,,0,,10.3,2.91%,2.91%,3.24%,,61.22%,69.83%,0.1,0.05,0.18,3,0.16,0,0,0.16,0.49,23.41,0.96,13.77,14.18,-8.71,-8.97,-34.39,-35.42,-66.5,-68.5,60.4741,6.32,
2545,皇翔,4.83%,1.2,07/20,0,,34.6,3.47%,3.47%,3.55%,08/11,428.57%,30.66%,3.07,3.53,3.62,10,1.24,0,0,1.24,0.28,23.54,1.1,-9.38,-32.47,-34.25,-118.5,-62.66,-216.82,-98.18,-339.71,16.2737,23.47,
2546,根基,23.07%,1,08/01,0,,16.3,6.13%,6.13%,6.93%,08/26,78.74%,35.43%,1.17,1.31,1.23,10,0.45,0,0,0.45,1.27,10.79,0.83,36.55,59.58,-11.34,-18.49,-66.09,-107.72,-134.51,-219.26,17.9316,21.3,
2548,華固,4.15%,5.5,06/29,0,,53.3,10.32%,10.32%,10.54%,08/04,57.35%,15.75%,5.17,5.46,5.69,10,-0.13,0,0,-0.13,9.59,10.19,1.05,-31.25,-166.58,-104.98,-559.57,-189.25,-1008.7,-294.58,-1570.11,3.5624,107.23,
2596,綠意,4.13%,1,07/21,0,,13.7,7.3%,7.3%,7.45%,08/12,142.86%,44.92%,1.37,1.3,1.56,10,-0.05,0,0,-0.05,0.7,-228.33,0.82,-22.18,-30.38,-74.33,-101.83,-133.93,-183.48,-208.43,-285.55,19.5954,19.49,
2597,潤弘,13.29%,4.6,07/07,0,,39.3,11.7%,11.7%,12.54%,07/25,89.49%,55.5%,6.33,4.03,3.16,9,0.5,0,0,0.5,5.14,8.49,1.3,15.37,60.39,-72.01,-283.01,-171.87,-675.46,-296.7,-1166.03,4.0769,93.7,
2605,新興,16.28%,1,08/11,0,,19.7,5.08%,5.08%,5.53%,09/07,60.24%,5.33%,1.03,1.39,2.42,10,0.48,0,0,0.48,1.66,11.66,0.66,13.87,27.33,-24.55,-48.37,-68.47,-134.88,-123.36,-243.02,18.4945,20.65,
2606,裕民,6.11%,1,07/07,0,,23.5,4.26%,4.26%,4.39%,07/29,104.17%,41.38%,1.73,2.62,4.02,10,-0.77,0,0,-0.77,0.96,180.77,0.77,-8.93,-20.98,-39.62,-93.12,-74.71,-175.56,-118.56,-278.62,19.4071,19.68,
2607,榮運,16.39%,0.35,08/11,0,,13.15,2.66%,2.66%,2.9%,09/08,44.3%,48.2%,0.33,0.38,0.44,9,0.18,0,0,0.18,0.79,16.65,0.66,7.41,9.75,-12.74,-16.76,-35.78,-47.05,-64.58,-84.92,52.8147,7.23,
2608,大榮,25.76%,1.72,07/13,0,,42.9,4.01%,4.01%,4.6%,08/17,62.77%,15.24%,1.54,1.22,0.84,8,0.71,0,0,0.71,2.74,14.79,2.42,29.01,124.46,-2.67,-11.45,-38.87,-166.77,-84.13,-360.92,10.3011,37.08,
2610,華航,18.79%,0.45852238,07/25,0,,9.4,4.88%,4.88%,5.38%,08/24,43.26%,48.45%,0.15,0.14,0.13,3,0.27,0,0,0.27,1.06,9.59,0.86,19.15,18,-18.21,-17.11,-60.9,-57.24,-114.26,-107.4,39.8724,9.58,
2611,志信,11.59%,0.15,,0.15,,7.38,2.03%,4.07%,4.32%,,150%,37.79%,0.37,0.44,0.59,9,0.01,0,0,0.01,0.2,105.43,0.52,2.05,1.52,-28.05,-20.7,-62.46,-46.09,-105.46,-77.83,63.015,6.06,
2612,中航,11.35%,0.2,,0,,22.7,0.88%,0.88%,0.93%,,15.38%,19%,1,1.53,3.1,10,0.31,0,0,0.31,1.3,21.62,0.53,0.34,0.78,-6.17,-14.01,-13.62,-30.92,-22.93,-52.06,94.6298,4.04,
2613,中櫃,15.2%,0.04,,0.12,,13.6,0.29%,1.18%,1.27%,,59.26%,38.76%,0.55,0.28,0.17,3,0.03,0,0,0.03,0.27,35.79,0.43,2.61,3.55,-6.25,-8.5,-16.38,-22.27,-29.04,-39.49,116.171,3.29,
2615,萬海,14.09%,1.2,07/18,0,,16.5,7.27%,7.27%,7.82%,08/10,67.42%,4.81%,1.33,1.06,1.02,7,0.02,0,0,0.02,1.78,19.19,1.03,12.31,20.31,-42.18,-69.6,-104.47,-172.37,-182.32,-300.82,15.5698,24.53,
2616,山隆,20.17%,1.5,07/21,0,,23.85,6.29%,6.29%,6.99%,08/25,78.95%,32.68%,1.5,1.42,1.19,10,0.55,0,0,0.55,1.9,11.58,0.95,28.81,68.71,-19.66,-46.88,-75.04,-178.98,-144.28,-344.11,12.1119,31.54,
2617,台航,17.65%,0.22,08/18,0,,12.4,1.77%,1.77%,1.95%,09/14,100%,36.34%,0.56,1.03,1.74,10,0.02,0,0,0.02,0.22,248,0.52,6,7.44,-7.51,-9.31,-22.96,-28.47,-42.27,-52.41,83.537,4.57,
2618,長榮航,20.48%,0.3,,0.5,,15.2,1.97%,5.26%,5.86%,,47.34%,40.23%,0.27,0.47,0.28,2,0.28,0,0,0.28,1.69,10.7,1.16,24.88,37.82,-15.73,-23.91,-62.15,-94.46,-120.17,-182.66,22.6778,16.84,
2634,漢翔,20.51%,1.36,07/07,0,,43.7,3.11%,3.11%,3.47%,08/08,60.99%,43.84%,0.76,0.38,0.23,2,0.53,0,0,0.53,2.23,19,3.31,14.76,64.49,-9.26,-40.47,-36.71,-160.43,-71.02,-310.37,13.3381,28.64,
